old name;summary.a.EVTYPE.;new name
(Other);773;(Other)
AVALANCHE;268;AVALANCHE
BLIZZARD;253;BLIZZARD
DROUGHT;266;DROUGHT
DROUGHT/EXCESSIVE HEAT;10;DROUGHT
DRY MICROBURST;78;DRY MICROBURST
DUST DEVIL;89;DUST DEVIL
DUST STORM;103;DUST STORM
EXCESSIVE HEAT;698;EXCESSIVE HEAT
EXTREME HEAT;17;EXCESSIVE HEAT
HEAT;215;EXCESSIVE HEAT
HEAT WAVE;34;EXCESSIVE HEAT
EXCESSIVE SNOW;25;EXCESSIVE SNOW
COLD;32;EXTREME COLD/WIND CHILL
COLD/WIND CHILL;90;EXTREME COLD/WIND CHILL
EXTREME COLD;197;EXTREME COLD/WIND CHILL
EXTREME COLD/WIND CHILL;111;EXTREME COLD/WIND CHILL
EXTREME WINDCHILL;19;EXTREME COLD/WIND CHILL
COASTAL FLOOD;164;FLOOD
COASTAL FLOODING;55;FLOOD
FLASH FLOOD;20967;FLOOD
FLASH FLOOD/FLOOD;16;FLOOD
FLASH FLOODING;302;FLOOD
FLASH FLOODS;13;FLOOD
FLOOD;10175;FLOOD
FLOOD/FLASH FLOOD;279;FLOOD
FLOODING;58;FLOOD
RIVER FLOOD;107;FLOOD
RIVER FLOODING;13;FLOOD
URBAN FLOOD;139;FLOOD
URBAN FLOODING;80;FLOOD
DENSE FOG;74;FOG
FOG;107;FOG
FREEZE;16;FREEZE
FROST/FREEZE;116;FREEZE
FREEZING RAIN;35;FREEZING RAIN
FUNNEL CLOUD;13;FUNNEL CLOUD
GLAZE;19;GLAZE
GUSTY WIND;13;GUSTY WINDS
Gusty Winds;10;GUSTY WINDS
GUSTY WINDS;21;GUSTY WINDS
HAIL;26130;HAIL
HEAVY RAIN;1105;HEAVY RAIN
HEAVY RAINS;20;HEAVY RAIN
HEAVY SNOW;1342;HEAVY SNOW
HEAVY SNOW SQUALLS;21;HEAVY SNOW
HEAVY SNOW-SQUALLS;15;HEAVY SNOW
HEAVY SURF;30;HIGH SURF
HEAVY SURF/HIGH SURF;50;HIGH SURF
HIGH SURF;130;HIGH SURF
HIGH WIND;5522;HIGH WIND
HIGH WINDS;657;HIGH WIND
STRONG WIND;3370;HIGH WIND
STRONG WINDS;50;HIGH WIND
WIND;83;HIGH WIND
WINDS;18;HIGH WIND
HURRICANE;129;HURRICANE
HURRICANE/TYPHOON;72;HURRICANE
ICE;24;ICE
ICE STORM;708;ICE STORM
ICY ROADS;22;ICY ROADS
LAKE-EFFECT SNOW;194;LAKE-EFFECT SNOW
LANDSLIDE;193;LANDSLIDE
LIGHT FREEZING RAIN;22;LIGHT FREEZING RAIN
Light Snow;21;LIGHT SNOW
LIGHT SNOW;119;LIGHT SNOW
LIGHTNING;13293;LIGHTNING
MARINE HIGH WIND;19;MARINE TSTM WIND
MARINE STRONG WIND;46;MARINE TSTM WIND
MARINE THUNDERSTORM WIND;33;MARINE TSTM WIND
MARINE TSTM WIND;109;MARINE TSTM WIND
MIXED PRECIPITATION;15;MIXED PRECIPITATION
OTHER;33;OTHER
RIP CURRENT;400;RIP CURRENT
RIP CURRENTS;241;RIP CURRENT
SMALL HAIL;11;SMALL HAIL
SNOW;52;SNOW
SNOW SQUALL;16;SNOW
STORM SURGE;177;STORM SURGE
STORM SURGE/TIDE;47;STORM SURGE/TIDE
THUNDERSTORM;19;THUNDERSTORM WIND
THUNDERSTORM WIND;43655;THUNDERSTORM WIND
THUNDERSTORM WINDS;12086;THUNDERSTORM WIND
THUNDERSTORM WINDS HAIL;40;THUNDERSTORM WIND
THUNDERSTORM WINDS/HAIL;22;THUNDERSTORM WIND
THUNDERSTORM WINDSS;34;THUNDERSTORM WIND
TSTM WIND;63234;THUNDERSTORM WIND
TSTM WIND (G45);36;THUNDERSTORM WIND
TSTM WIND/HAIL;441;THUNDERSTORM WIND
TORNADO;39944;TORNADO
TROPICAL DEPRESSION;35;TROPICAL DEPRESSION
TROPICAL STORM;416;TROPICAL STORM
TSUNAMI;14;TSUNAMI
URBAN/SML STREAM FLD;702;URBAN/SML STREAM FLD
WATERSPOUT;47;WATERSPOUT
WILD/FOREST FIRE;388;WILDFIRE
WILDFIRE;857;WILDFIRE
WINTER STORM;1508;WINTER STORM
WINTER WEATHER;407;WINTER WEATHER
WINTER WEATHER/MIX;139;WINTER WEATHER
